"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Dexter Fowler","Cardinals","123","510","436","103","22","2","15","55","55","62","124","6","7","3","",".235",".336",".400",".736",".317","","97","0.7","-3.0","","-1.3","-8.5","0.7","","581.3","4062"
"Tyler O'Neill","Cardinals","108","438","397","94","17","1","22","51","62","32","139","3","4","2","",".238",".298",".450",".748",".313","","94","0.7","1.4","","-2.8","-4.9","0.6","","543.5","15711"
"Tony Kemp","Athletics","65","247","220","57","10","2","4","28","24","21","35","3","7","3","",".261",".330",".381",".711",".306","","93","-0.1","-0.6","","-2.5","0.2","0.6","","596.5","14894"
"Victor Reyes","Tigers","97","383","358","98","18","3","7","42","39","17","73","2","11","4","",".273",".308",".400",".708",".300","","84","0.4","3.6","","-7.4","0.2","0.6","","509.7","15487"
"Dylan Carlson","Cardinals","73","301","269","68","13","2","9","33","34","25","64","3","6","3","",".253",".321",".420",".740",".314","","95","0.1","0.0","","-2.0","-1.4","0.6","","241.2","sa917940"
"Mike Tauchman","Yankees","86","338","299","74","15","2","9","38","38","32","75","2","6","3","",".247",".321",".399",".720",".308","","91","0.0","1.4","","-3.9","-1.9","0.6","","513.0","15274"
"Jarrod Dyson","Pirates","86","343","303","72","13","2","6","32","30","31","61","3","17","5","",".239",".315",".347",".661",".288","","77","2.2","1.9","","-8.4","3.3","0.6","","420.4","4866"
"Chris Taylor","Dodgers","70","296","262","64","16","2","8","34","32","26","82","3","4","2","",".244",".318",".406",".725",".309","","92","1.0","-0.9","","-2.0","-1.9","0.6","","538.6","13757"
"Steven Souza Jr.","Cubs","75","317","275","66","12","2","14","40","43","35","92","3","5","2","",".239",".329",".451",".780",".330","","102","0.8","-1.4","","1.6","-6.5","0.5","","580.4","5667"
"Matt Joyce","Marlins","82","329","277","66","14","1","11","37","36","45","71","2","2","1","",".239",".346",".412",".758",".327","","104","-0.3","-1.7","","1.5","-7.2","0.5","","601.0","3353"
"Jose Martinez","Rays","71","301","269","73","13","1","9","36","36","27","65","2","2","1","",".270",".338",".427",".766",".326","","106","-0.2","-0.2","","2.2","-8.1","0.5","","550.7","7996"
"Brett Phillips","Royals","81","325","283","60","10","5","8","35","33","35","110","2","8","3","",".210",".299",".367",".666",".287","","74","0.8","4.5","","-10.0","3.2","0.5","","601.0","14735"
"JaCoby Jones","Tigers","123","481","432","101","22","4","14","54","51","34","141","8","11","4","",".234",".299",".397",".696",".295","","81","1.1","-3.9","","-10.8","-1.8","0.4","","576.9","14818"
"Brandon Drury","Blue Jays","83","334","303","73","18","1","10","37","38","24","81","3","2","1","",".241",".300",".407",".707",".300","","85","-0.2","-0.1","","-6.6","-1.1","0.4","","597.8","11615"
"Nick Markakis","Braves","79","334","296","84","18","1","8","38","41","32","48","2","1","1","",".282",".355",".429",".784",".334","","103","-1.0","-2.1","","0.4","-7.2","0.4","","577.3","5930"
"Domingo Santana","Indians","89","362","314","78","16","1","14","44","47","40","113","3","5","2","",".248",".336",".442",".777",".330","","101","0.4","-3.8","","0.9","-9.8","0.4","","289.8","10348"
"Derek Fisher","Blue Jays","73","284","248","57","11","1","11","34","34","29","89","3","6","3","",".229",".314",".417",".731",".311","","93","0.2","0.1","","-2.4","-3.9","0.4","","597.4","16192"
"Garrett Cooper","Marlins","70","298","269","71","14","1","9","32","36","23","74","3","1","0","",".263",".325",".424",".749",".318","","99","-0.4","0.3","","-0.9","-5.1","0.4","","531.0","15279"
"Leury Garcia","White Sox","96","379","352","92","16","2","7","41","37","16","87","5","9","3","",".261",".300",".375",".675",".289","","80","0.9","0.1","","-9.0","-0.9","0.3","","557.1","5913"
"Jake Bauers","Indians","49","201","174","42","10","0","7","24","24","23","49","2","4","2","",".242",".333",".416",".749",".321","","95","0.4","0.0","","-0.8","-2.9","0.3","","577.6","15194"
"Myles Straw","Astros","34","137","121","32","5","1","1","16","12","13","26","1","7","2","",".261",".335",".340",".675",".297","","86","0.5","0.1","","-1.8","0.5","0.3","","571.2","17620"
"Teoscar Hernandez","Blue Jays","130","524","468","108","23","3","24","62","69","46","162","4","7","3","",".230",".303",".444",".747",".313","","94","0.2","-3.1","","-3.8","-11.3","0.3","","311.3","13066"
"Robbie Grossman","Athletics","37","152","129","33","7","1","3","17","15","20","28","1","2","1","",".254",".354",".387",".741",".323","","104","-0.1","-0.7","","0.6","-2.6","0.3","","600.6","5254"
"Chad Pinder","Athletics","36","147","134","33","7","0","5","17","18","9","38","2","1","0","",".250",".307",".428",".735",".310","","95","-0.2","0.7","","-1.0","-0.8","0.3","","599.1","15191"
"Christin Stewart","Tigers","99","400","351","86","17","1","15","46","49","40","96","4","1","1","",".245",".327",".434",".761",".322","","99","-0.4","-3.7","","-1.2","-9.7","0.3","","591.0","17714"
"Wil Myers","Padres","95","400","352","81","18","1","15","47","47","40","124","3","11","4","",".229",".311",".416",".728",".309","","91","0.9","-0.6","","-3.7","-6.1","0.3","","259.3","10047"
"Jake Fraley","Mariners","100","395","360","88","19","2","11","40","44","24","92","5","11","5","",".244",".298",".404",".702",".296","","86","0.3","0.1","","-6.7","-4.2","0.3","","528.8","19260"
"Josh Naylor","Padres","47","198","178","47","10","0","7","23","24","17","35","1","1","1","",".267",".332",".437",".769",".325","","101","0.1","-0.8","","0.5","-3.9","0.3","","597.7","18839"
"Josh Rojas","Diamondbacks","28","116","103","27","6","1","3","14","13","10","23","1","5","2","",".265",".335",".427",".762",".324","","98","0.0","0.3","","-0.3","-0.8","0.3","","574.9","19734"
"Eric Thames","Nationals","104","424","367","87","18","2","19","51","56","47","129","6","4","2","",".237",".330",".448",".779",".327","","98","0.2","-1.7","","-0.9","-10.2","0.3","","515.6","3711"
"Hunter Pence","Giants","88","364","331","86","16","2","12","39","45","26","86","3","4","2","",".260",".316",".428",".744",".315","","96","0.0","-1.8","","-1.9","-7.3","0.3","","573.4","8252"
"Brock Holt","Brewers","77","309","270","67","13","1","6","31","31","30","65","4","3","1","",".249",".332",".368",".700",".304","","84","-0.2","-0.3","","-6.7","-0.7","0.3","","600.4","9345"
"Garrett Stubbs","","32","131","117","27","6","0","3","14","13","11","27","1","3","1","",".231",".302",".352",".654",".284","","77","0.2","0.0","","-3.6","2.6","0.2","","599.6","18067"
"Albert Almora Jr.","Cubs","67","276","256","68","14","1","7","30","31","15","49","2","3","1","",".267",".309",".413",".722",".304","","85","-0.3","-0.5","","-5.8","-0.8","0.2","","600.8","14109"
"Jake Cave","Twins","32","130","118","30","6","1","4","15","16","9","38","2","1","0","",".256",".316",".424",".739",".313","","93","0.1","-0.5","","-1.1","-1.1","0.2","","600.9","14477"
"Jon Berti","Marlins","51","221","197","48","9","1","4","24","18","18","50","3","9","3","",".243",".314",".363",".676",".294","","83","1.0","-0.1","","-4.1","-0.8","0.2","","252.2","12037"
"Lane Thomas","Cardinals","51","205","184","45","8","1","7","23","24","16","53","2","5","2","",".245",".308",".419",".727",".308","","91","0.1","0.4","","-2.3","-2.1","0.2","","593.6","16939"
"Travis Demeritte","Tigers","34","138","122","29","6","1","5","16","17","12","40","1","1","1","",".239",".312",".433",".745",".315","","94","0.1","-0.2","","-0.9","-1.9","0.2","","598.5","15958"
"Aristides Aquino","Reds","62","264","243","58","11","1","15","33","42","17","75","2","3","2","",".240",".294",".481",".776",".320","","93","0.1","-0.7","","-2.2","-4.5","0.2","","421.4","15482"
"Delino DeShields","Indians","42","166","146","34","7","1","2","19","15","16","41","1","8","3","",".232",".313",".338",".651",".286","","71","1.3","-0.2","","-4.8","0.5","0.2","","560.8","11379"
"Matt Beaty","Dodgers","38","154","141","39","8","0","5","18","20","10","22","2","2","1","",".275",".327",".442",".769",".324","","102","0.0","-0.8","","0.4","-3.8","0.2","","590.1","17710"
"Jose Osuna","Pirates","63","254","233","62","15","1","8","28","32","17","49","2","2","1","",".266",".317",".441",".758",".320","","97","-0.2","-1.5","","-1.2","-5.5","0.2","","595.2","12937"
"Jo Adell","Angels","65","263","240","58","13","1","8","30","31","17","75","3","4","1","",".241",".296",".406",".701",".297","","86","0.2","0.0","","-4.6","-3.2","0.1","","999.0","sa3004837"
